iter	RMSE
0	4550.865515
1	4493.986935
2	4425.834762
3	4360.26329
4	4309.928117
5	4249.124324
6	4156.095491
7	4099.095555
8	4010.53537
9	3924.637882
10	3891.367966
11	3839.479659
12	3758.718775
13	3710.802015
14	3679.257277
15	3649.093135
16	3602.417061
17	3573.173792
18	3500.48509
19	3430.034369
20	3387.598317
21	3320.697343
22	3254.80421
23	3229.654245
24	3166.670171
25	3136.34623
26	3100.152918
27	3041.298963
28	2985.300148
29	2963.39812
30	2930.716426
31	2899.391418
32	2818.078367
33	2787.471032
34	2759.062154
35	2739.524621
36	2720.929592
37	2703.113406
38	2675.298236
39	2605.340227
40	2588.763715
41	2573.434292
42	2533.224835
43	2519.103306
44	2494.29597
45	2470.432573
46	2447.585549
47	2410.816076
48	2396.940703
49	2383.040065
50	2370.798274
51	2349.414089
52	2336.652853
53	2308.986096
54	2298.238215
55	2287.841273
56	2267.633993
57	2266.545159
58	2247.236839
59	2237.249236
60	2236.196639
61	2208.091689
62	2207.057775
63	2197.918813
64	2179.851922
65	2162.738095
66	2152.797809
67	2144.337574
68	2143.346806
69	2126.673601
70	2125.704262
71	2124.787
72	2108.881388
73	2108.021413
74	2098.751656
75	2097.924371
76	2090.08845
77	2081.651309
78	2073.626025
79	2066.869696
80	2051.289756
81	2050.490131
82	2043.997798
83	2029.092399
84	2021.958344
85	2001.603245
86	2000.804455
87	1999.948139
88	1999.253235
89	1998.554728
90	1984.866743
91	1984.206923
92	1983.608372
93	1977.833419
94	1972.36405
95	1959.181539
96	1958.60386
97	1952.473686
98	1939.847073
99	1939.293891
100	1938.756276
101	1938.253309
102	1932.364497
103	1927.582624
104	1923.038436
105	1918.699931
106	1906.470952
107	1905.851381
108	1900.747774
109	1889.069537
110	1888.608421
111	1888.170066
112	1884.59413
113	1884.130725
114	1883.728775
115	1874.139309
116	1873.760289
117	1865.006957
118	1856.999198
119	1856.636107
120	1856.290002
121	1852.089595
122	1848.0966
123	1847.743165
124	1843.932784
125	1833.152025
126	1832.835028
127	1825.22568
128	1824.898107
129	1824.542688
130	1824.27032
131	1820.79496
132	1814.847383
133	1811.671674
134	1811.385262
135	1811.099311
136	1808.092619
137	1805.237664
138	1802.518996
139	1802.24962
140	1801.909411
141	1791.964365
142	1789.364831
143	1789.123716
144	1786.655712
145	1786.428534
146	1776.687827
147	1767.39523
148	1767.16891
149	1764.792091
150	1762.140852
151	1761.919345
152	1761.713423
153	1761.544382
154	1759.282091
155	1750.375437
156	1748.216488
157	1748.026978
158	1739.520718
159	1739.340895
160	1736.833994
161	1734.768877
162	1734.59682
163	1726.463985
164	1726.300688
165	1724.327229
166	1716.560224
167	1716.403603
168	1714.519195
169	1714.37103
170	1706.957071
171	1706.815798
172	1704.430527
173	1703.660371
174	1696.581722
175	1695.032368
176	1688.280137
177	1687.549419
178	1687.413998
179	1680.978505
180	1680.286788
181	1678.409545
182	1672.274273
183	1671.617482
184	1671.269389
185	1665.420607
186	1664.797372
187	1664.643435
188	1659.069598
189	1658.479354
190	1653.149213
191	1653.005593
192	1652.715212
193	1647.652222
194	1647.091343
195	1646.96387
196	1642.141017
197	1641.609472
198	1641.490481
199	1636.896995
200	1634.572406
201	1634.067604
202	1629.687087
203	1629.582352
204	1629.343376
205	1625.172705
206	1624.692115
207	1624.44237
208	1620.469215
209	1620.01323
210	1619.915955
211	1616.133569
212	1615.267294
213	1614.446493
214	1610.843984
215	1610.064331
216	1609.325138
217	1608.624135
218	1605.191724
219	1604.524321
220	1603.891285
221	1601.556505
222	1598.319161
223	1595.239703
224	1594.635424
225	1594.062077
226	1591.130445
227	1590.585121
228	1590.505029
229	1589.987502
230	1587.196799
231	1586.704439
232	1586.486764
233	1586.302145
234	1586.102366
235	1583.447696
236	1582.979873
237	1582.53581
238	1581.145717
239	1580.723531
240	1580.32275
241	1578.09039
242	1578.024568
243	1575.448465
244	1574.857458
245	1574.159585
246	1573.360857
247	1572.979938
248	1572.606459
249	1571.296814
250	1570.936638
251	1568.840481
252	1566.418206
253	1565.996729
254	1565.937695
255	1565.881746
256	1565.541281
257	1564.292256
258	1563.941527
259	1563.381934
260	1561.07422
261	1560.604876
262	1559.224478
263	1557.024745
264	1554.891167
265	1550.972611
266	1550.57668
267	1548.581502
268	1548.259865
269	1548.180446
270	1547.858043
271	1547.552205
272	1545.614687
273	1545.324154
274	1544.766335
275	1542.958315
276	1542.586062
277	1542.011063
278	1540.254294
279	1540.03435
280	1539.758781
281	1538.648705
282	1534.910123
283	1534.553902
284	1534.291869
285	1532.874131
286	1532.625261
287	1530.981288
288	1527.317984
289	1527.112568
290	1526.875852
291	1525.274388
292	1525.049498
293	1520.180744
294	1518.686317
295	1517.262974
296	1513.76429
297	1513.424075
298	1513.209106
299	1508.574075
300	1507.214664
301	1505.92327
302	1505.718255
303	1505.523692
304	1502.184744
305	1501.989821
306	1500.759677
307	1496.345517
308	1495.171585
309	1494.984699
310	1493.869421
311	1493.691958
312	1490.503964
313	1490.318776
314	1489.231359
315	1489.062626
316	1488.737694
317	1488.577486
318	1487.514234
319	1487.362079
320	1486.02453
321	1482.98792
322	1482.843139
323	1481.82982
324	1481.653572
325	1480.616289
326	1480.478679
327	1480.075788
328	1479.944743
329	1479.881937
330	1479.750227
331	1479.625615
332	1475.389659
333	1474.421982
334	1473.502806
335	1473.335228
336	1472.34385
337	1472.18317
338	1471.309305
339	1471.190675
340	1471.078382
341	1469.806987
342	1466.897067
343	1466.746638
344	1465.913843
345	1465.807214
346	1463.040458
347	1462.741996
348	1462.507088
349	1461.558237
350	1461.46164
351	1460.668069
352	1460.576514
353	1456.516633
354	1455.759483
355	1455.029054
356	1454.88553
357	1450.11575
358	1447.465004
359	1446.491438
360	1445.792784
361	1445.129614
362	1443.938086
363	1443.307984
364	1443.170751
365	1442.244113
366	1441.644076
367	1441.074426
368	1440.986691
369	1440.932095
370	1440.736638
371	1440.195687
372	1439.905844
373	1439.631569
374	1439.424633
375	1439.235377
376	1435.338002
377	1434.763765
378	1434.517974
379	1434.331349
380	1434.174849
381	1433.630781
382	1433.251134
383	1433.035176
384	1432.867313
385	1429.163936
386	1428.646578
387	1428.513856
388	1427.676429
389	1427.517007
390	1427.361857
391	1423.827672
392	1423.329776
393	1422.858256
394	1422.731765
395	1421.931437
396	1421.743944
397	1418.384932
398	1417.930382
399	1417.652351
400	1417.475351
401	1417.308688
402	1417.025806
403	1416.847005
404	1416.71134
405	1416.590897
406	1416.160245
407	1415.410009
408	1414.673758
409	1414.251098
410	1413.903544
411	1413.791652
412	1413.655647
413	1413.514789
414	1413.125152
415	1410.999743
416	1410.730445
417	1410.331224
418	1410.176447
419	1409.533271
420	1409.155488
421	1406.286536
422	1401.610489
423	1398.442916
424	1395.432198
425	1395.070413
426	1394.963313
427	1394.620986
428	1394.519433
429	1394.411914
430	1394.08783
431	1393.947247
432	1393.884707
433	1393.199292
434	1392.878378
435	1392.781994
436	1392.53422
437	1391.88556
438	1390.751119
439	1390.447648
440	1390.350708
441	1387.603546
442	1386.070476
443	1385.979082
444	1385.669777
445	1385.448683
446	1385.293395
