iter	Passed	Remaining
0	49	49788
1	79	39720
2	113	37714
3	152	38037
4	186	37191
5	220	36577
6	253	35945
7	284	35250
8	314	34633
9	346	34283
10	382	34384
11	415	34196
12	450	34195
13	482	34015
14	516	33941
15	550	33862
16	584	33795
17	616	33633
18	646	33395
19	678	33247
20	707	32970
21	742	33022
22	788	33482
23	827	33652
24	865	33768
25	898	33643
26	927	33439
27	959	33321
28	997	33391
29	1029	33290
30	1067	33364
31	1102	33361
32	1135	33272
33	1170	33259
34	1215	33506
35	1251	33514
36	1278	33278
37	1312	33239
38	1349	33249
39	1383	33198
40	1419	33202
41	1451	33113
42	1483	33014
43	1514	32910
44	1543	32748
45	1572	32606
46	1607	32590
47	1639	32517
48	1667	32366
49	1700	32310
50	1734	32268
51	1762	32130
52	1798	32131
53	1829	32052
54	1859	31941
55	1891	31888
56	1920	31766
57	1953	31724
58	1987	31691
59	2023	31698
60	2054	31628
61	2086	31563
62	2116	31473
63	2146	31395
64	2176	31315
65	2207	31235
66	2239	31188
67	2273	31162
68	2307	31139
69	2351	31245
70	2388	31255
71	2422	31229
72	2454	31171
73	2482	31060
74	2515	31023
75	2545	30950
76	2577	30896
77	2614	30910
78	2649	30890
79	2675	30768
80	2701	30653
81	2729	30551
82	2755	30447
83	2781	30333
84	2811	30268
85	2837	30155
86	2866	30084
87	2891	29969
88	2917	29859
89	2945	29786
90	2971	29678
91	3000	29613
92	3025	29510
93	3058	29481
94	3082	29367
95	3110	29290
96	3140	29234
97	3171	29192
98	3201	29134
99	3232	29093
100	3264	29060
101	3296	29022
102	3326	28968
103	3351	28872
104	3376	28778
105	3401	28687
106	3424	28579
107	3452	28511
108	3480	28447
109	3506	28367
110	3530	28276
111	3555	28187
112	3581	28115
113	3610	28059
114	3641	28024
115	3674	28004
116	3701	27935
117	3729	27876
118	3756	27812
119	3782	27736
120	3810	27684
121	3841	27648
122	3871	27605
123	3899	27547
124	3927	27489
125	3952	27414
126	3976	27336
127	4002	27270
128	4029	27207
129	4054	27134
130	4082	27081
131	4111	27039
132	4139	26983
133	4166	26927
134	4195	26880
135	4227	26859
136	4259	26829
137	4289	26792
138	4319	26753
139	4347	26706
140	4373	26643
141	4399	26584
142	4427	26532
143	4455	26483
144	4482	26432
145	4510	26382
146	4537	26329
147	4562	26266
148	4591	26221
149	4618	26172
150	4648	26135
151	4677	26096
152	4709	26073
153	4739	26034
154	4773	26024
155	4803	25987
156	4834	25957
157	4864	25923
158	4891	25873
159	4921	25836
160	4954	25817
161	4983	25779
162	5016	25759
163	5042	25706
164	5074	25678
165	5103	25642
166	5127	25575
167	5156	25534
168	5183	25488
169	5215	25462
170	5243	25420
171	5273	25385
172	5301	25341
173	5327	25291
174	5354	25240
175	5381	25194
176	5406	25137
177	5433	25092
178	5464	25063
179	5489	25005
180	5517	24966
181	5544	24920
182	5569	24864
183	5596	24817
184	5627	24793
185	5658	24764
186	5688	24729
187	5717	24692
188	5740	24634
189	5770	24601
190	5796	24549
191	5826	24520
192	5858	24495
193	5885	24454
194	5912	24409
195	5939	24366
196	5964	24312
197	5990	24263
198	6017	24221
199	6041	24167
200	6068	24123
201	6095	24082
202	6122	24039
203	6150	24000
204	6181	23972
205	6208	23929
206	6236	23890
207	6267	23866
208	6296	23830
209	6325	23797
210	6354	23761
211	6377	23703
212	6404	23662
213	6431	23621
214	6459	23585
215	6487	23547
216	6513	23503
217	6540	23460
218	6565	23415
219	6589	23364
220	6617	23324
221	6642	23278
222	6666	23228
223	6689	23175
224	6716	23135
225	6741	23089
226	6768	23047
227	6794	23005
228	6823	22973
229	6849	22929
230	6878	22898
231	6906	22861
232	6936	22833
233	6966	22804
234	6996	22777
235	7022	22734
236	7055	22715
237	7103	22743
238	7134	22715
239	7164	22687
240	7196	22663
241	7227	22639
242	7258	22612
243	7286	22575
244	7317	22548
245	7349	22526
246	7379	22497
247	7410	22471
248	7439	22436
249	7464	22393
250	7495	22367
251	7525	22338
252	7550	22294
253	7577	22254
254	7605	22219
255	7633	22183
256	7661	22149
257	7690	22117
258	7717	22080
259	7743	22038
260	7767	21994
261	7794	21956
262	7824	21926
263	7852	21891
264	7876	21845
265	7903	21807
266	7928	21765
267	7951	21719
268	7975	21672
269	8001	21633
270	8027	21595
271	8055	21561
272	8082	21522
273	8112	21496
274	8143	21468
275	8168	21427
276	8192	21383
277	8224	21360
278	8257	21338
279	8289	21316
280	8324	21299
281	8355	21273
282	8387	21249
283	8415	21215
284	8440	21176
285	8466	21137
286	8494	21102
287	8518	21058
288	8544	21021
289	8568	20978
290	8595	20941
291	8620	20901
292	8648	20867
293	8675	20832
294	8704	20801
295	8733	20772
296	8762	20739
297	8789	20705
298	8814	20666
299	8840	20628
300	8865	20587
301	8892	20553
302	8933	20549
303	8967	20531
304	8997	20503
305	9026	20472
306	9056	20443
307	9090	20423
308	9118	20392
309	9147	20360
310	9175	20327
311	9204	20298
312	9234	20268
313	9262	20235
314	9291	20205
315	9325	20186
316	9365	20179
317	9400	20160
318	9434	20140
319	9468	20121
320	9503	20102
321	9554	20117
322	9594	20109
323	9624	20081
324	9655	20054
325	9688	20030
326	9721	20007
327	9753	19981
328	9784	19955
329	9814	19926
330	9849	19908
331	9882	19884
332	9917	19865
333	9946	19833
334	9977	19805
335	10004	19770
336	10033	19740
337	10063	19710
338	10103	19700
339	10148	19699
340	10186	19686
341	10222	19667
342	10257	19647
343	10290	19623
344	10321	19596
345	10350	19564
346	10383	19539
347	10413	19510
348	10447	19488
349	10478	19460
350	10509	19432
351	10538	19400
352	10569	19372
353	10600	19344
354	10630	19314
355	10662	19289
356	10702	19276
357	10738	19257
358	10769	19228
359	10799	19198
360	10825	19162
361	10857	19135
362	10891	19112
363	10920	19080
364	10944	19040
365	10971	19004
366	10996	18967
367	11020	18927
368	11048	18892
369	11073	18855
370	11101	18820
371	11129	18788
372	11157	18755
373	11186	18724
374	11214	18690
375	11240	18655
376	11267	18620
377	11296	18587
378	11328	18562
379	11357	18531
380	11384	18496
381	11410	18460
382	11436	18423
383	11463	18388
384	11494	18360
385	11529	18340
386	11565	18319
387	11594	18287
388	11622	18255
389	11651	18223
390	11681	18195
391	11711	18165
392	11741	18134
393	11770	18104
394	11798	18070
395	11827	18039
396	11858	18012
397	11889	17983
398	11924	17961
399	11958	17937
400	11991	17913
401	12026	17890
402	12058	17862
403	12087	17832
404	12115	17799
405	12141	17764
406	12174	17738
407	12206	17711
408	12237	17682
409	12266	17651
410	12295	17621
411	12323	17587
412	12354	17560
413	12385	17531
414	12411	17496
415	12440	17463
416	12466	17429
417	12491	17392
418	12521	17362
419	12551	17332
420	12579	17300
421	12606	17266
422	12633	17233
423	12661	17199
424	12685	17163
425	12714	17131
426	12742	17099
427	12767	17063
428	12792	17026
429	12817	16989
430	12843	16955
431	12872	16924
432	12898	16889
433	12922	16852
434	12947	16816
435	12969	16776
436	12993	16740
437	13016	16701
438	13044	16669
439	13071	16636
440	13096	16600
441	13126	16571
442	13156	16542
443	13181	16506
444	13208	16473
445	13233	16437
446	13259	16403
447	13292	16378
448	13319	16345
449	13349	16315
450	13374	16280
451	13401	16248
452	13427	16213
453	13451	16177
454	13476	16142
455	13503	16109
456	13528	16074
457	13553	16039
458	13579	16005
459	13604	15970
460	13629	15935
461	13653	15899
462	13680	15867
463	13708	15836
464	13738	15806
465	13765	15774
466	13791	15740
467	13816	15706
468	13840	15669
469	13864	15634
470	13887	15597
471	13915	15566
472	13947	15539
473	13978	15512
474	14004	15478
475	14029	15443
476	14052	15407
477	14079	15375
478	14103	15340
479	14132	15309
480	14160	15279
481	14189	15249
482	14220	15221
483	14252	15194
484	14281	15165
485	14314	15139
486	14343	15108
487	14382	15089
488	14414	15062
489	14445	15035
490	14478	15009
491	14505	14977
492	14533	14945
493	14562	14915
494	14598	14893
495	14628	14864
496	14655	14832
497	14684	14802
498	14711	14770
499	14737	14737
500	14763	14704
501	14790	14672
502	14817	14640
503	14845	14609
504	14869	14575
505	14893	14540
506	14919	14507
507	14943	14472
508	14968	14439
509	14999	14411
510	15029	14382
511	15054	14348
512	15082	14317
513	15105	14282
514	15132	14251
515	15167	14226
516	15197	14197
517	15224	14166
518	15251	14135
519	15276	14101
520	15300	14066
521	15326	14034
522	15352	14002
523	15378	13969
524	15402	13935
525	15426	13901
526	15452	13868
527	15479	13837
528	15504	13804
529	15528	13770
530	15556	13740
531	15583	13708
532	15610	13677
533	15639	13648
534	15664	13614
535	15692	13584
536	15716	13550
537	15741	13518
538	15771	13489
539	15800	13459
540	15829	13430
541	15858	13400
542	15884	13369
543	15909	13336
544	15934	13303
545	15957	13268
546	15981	13235
547	16009	13204
548	16035	13173
549	16062	13141
550	16091	13112
551	16120	13082
552	16144	13049
553	16170	13018
554	16199	12988
555	16225	12956
556	16253	12927
557	16281	12896
558	16306	12864
559	16333	12833
560	16361	12803
561	16384	12769
562	16412	12739
563	16435	12705
564	16461	12674
565	16489	12643
566	16515	12612
567	16548	12586
568	16575	12555
569	16604	12526
570	16636	12499
571	16666	12470
572	16697	12442
573	16731	12417
574	16765	12392
575	16795	12363
576	16826	12335
577	16856	12306
578	16883	12276
579	16910	12245
580	16936	12213
581	16962	12182
582	16991	12153
583	17018	12122
584	17050	12095
585	17078	12065
586	17106	12035
587	17131	12003
588	17156	11971
589	17181	11939
590	17207	11908
